Channel_Number,Channel,Trial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,FP1,51,-7.823,-8.799,-7.823,-4.893,-1.475,2.920,6.826,10.244,10.244,7.802,3.896,0.478,-0.010,1.455,3.408,1.943,-3.428,-10.264,-13.194,-10.264,-1.963,5.849,8.779,5.361,-0.498,-5.870,-6.846,-6.358,-6.358,-8.311,-10.264,-9.776,-4.893,2.431,8.291,10.244,7.314,3.408,0.966,0.478,0.966,0.966,-0.498,-1.475,-0.987,0.478,1.943,1.943,0.478,-1.963,-3.916,-5.381,-6.358,-6.358,-4.405,-0.498,3.896,6.337,4.384,-0.498,-4.893,-5.381,-1.475,4.384,8.779,10.244,8.779,5.849,1.943,-2.940,-7.334,-10.752,-10.752,-7.823,-2.940,-0.010,1.455,-0.498,-1.963,-2.452,-1.963,-1.963,-1.963,-2.940,-2.452,-0.498,2.431,5.361,6.337,6.337,5.361,4.873,5.361,6.826,8.779,10.244,10.732,10.244,8.291,6.826,5.849,7.314,10.732,14.638,16.103,15.615,11.709,6.826,3.896,3.408,4.384,5.849,6.826,6.826,5.849,6.337,7.802,8.291,6.826,2.920,-0.987,-2.452,-0.010,4.873,8.291,8.779,6.337,1.943,-0.987,-1.475,-0.010,2.431,5.361,6.826,5.361,3.408,-0.010,-1.475,-0.987,2.431,7.314,10.732,12.197,10.732,8.291,6.337,4.384,2.920,1.943,1.455,1.455,0.478,-1.475,-2.452,-2.452,-0.498,1.943,3.408,2.920,1.943,2.431,4.873,7.802,9.755,8.291,4.384,-0.010,-2.452,-1.475,0.966,3.896,5.849,6.826,7.314,6.337,3.896,2.920,2.920,6.826,11.709,15.127,14.638,10.244,6.337,5.361,7.802,12.685,15.615,14.150,10.244,6.826,6.337,7.802,9.267,8.291,5.361,1.943,0.478,2.431,6.337,10.244,11.709,11.220,9.755,7.314,6.337,5.849,5.849,4.873,3.408,1.455,0.966,1.943,3.896,6.826,9.267,11.709,13.662,15.127,15.615,14.150,11.709,9.267,7.802,8.779,10.732,12.197,12.685,11.709,11.220,11.709,13.662,16.103,16.591,15.615,12.685,9.755,7.314,6.337,6.826,6.337,6.337,6.826,7.802,10.244,12.685,14.638,15.615,18.056,23.427,30.752,38.076,42.959,43.935,41.494,36.611
1,FP2,51,-6.917,-5.941,-3.988,-2.035,-0.570,-0.570,-0.570,0.407,2.360,3.337,3.337,1.383,-1.058,-3.499,-5.452,-7.406,-10.335,-11.800,-11.312,-9.359,-5.452,-3.988,-4.476,-5.941,-6.917,-6.429,-4.964,-5.452,-8.870,-13.265,-15.218,-13.265,-6.917,-0.081,4.313,5.290,3.337,1.872,0.895,0.407,-1.546,-3.011,-4.476,-3.499,-0.081,2.360,3.337,0.895,-3.011,-6.429,-8.382,-7.894,-6.917,-5.452,-4.476,-3.499,-2.523,-2.035,-2.523,-2.523,-2.523,-2.035,-2.035,-2.035,-3.988,-6.429,-8.382,-9.359,-9.847,-10.824,-13.265,-14.730,-15.706,-14.242,-11.800,-10.335,-9.847,-11.800,-13.753,-13.753,-11.800,-8.382,-5.452,-3.011,-3.011,-3.499,-3.988,-2.523,-0.570,1.383,1.872,0.407,-1.546,-1.058,0.407,2.848,4.313,4.801,3.337,3.337,4.313,6.755,9.196,10.661,10.661,10.173,8.219,5.778,3.825,2.360,1.383,0.407,-0.570,-1.546,-2.035,-1.058,0.895,2.360,2.848,1.383,-0.570,-3.011,-3.988,-3.011,-3.499,-4.476,-6.429,-7.894,-7.894,-6.429,-4.476,-3.499,-3.499,-4.476,-4.476,-3.988,-2.035,-1.546,-1.546,-3.011,-4.476,-3.988,-2.035,0.407,1.872,0.407,-3.499,-7.406,-9.359,-8.870,-6.917,-4.964,-4.476,-5.452,-6.917,-7.406,-5.941,-3.988,-2.035,-1.546,-2.523,-3.988,-4.476,-4.476,-3.499,-2.523,-3.499,-4.964,-6.429,-6.917,-5.452,-3.499,-1.546,-1.058,-1.546,-2.035,-2.523,-2.523,-1.546,-0.570,-0.570,-1.058,-2.523,-3.988,-4.476,-3.499,-1.546,0.407,0.407,-1.058,-2.523,-3.499,-2.035,-0.081,0.407,-0.570,-3.011,-4.964,-4.476,-2.523,-0.570,-0.081,-0.570,-1.546,-1.058,-0.570,-0.570,-2.035,-4.964,-6.429,-5.941,-3.988,-1.058,0.407,0.407,0.407,1.383,3.337,6.755,8.219,8.219,5.290,2.360,1.383,1.383,3.337,4.801,5.778,6.266,6.266,6.755,7.243,5.778,3.825,0.895,-0.570,-1.058,0.407,2.360,4.313,4.801,3.337,3.337,3.337,4.313,6.266,8.219,11.149,14.567,18.962,23.844,27.262,29.215,29.704,30.192,29.215
2,F7,51,-11.271,-9.318,-5.900,-0.041,7.284,13.631,16.073,13.631,7.772,1.912,-1.994,-1.994,0.936,5.330,9.725,10.213,6.307,-1.506,-8.830,-11.271,-6.877,0.936,7.772,9.237,4.354,-2.482,-6.877,-7.853,-7.853,-7.853,-8.830,-7.365,-1.017,8.260,16.073,16.561,9.725,0.936,-4.924,-4.435,-0.041,2.401,1.424,-0.041,0.936,3.377,5.819,3.866,-2.482,-10.783,-16.154,-17.619,-15.666,-12.736,-7.853,-1.506,4.842,8.748,6.307,-0.529,-7.365,-9.806,-7.365,-3.459,0.448,2.889,3.866,4.842,3.866,-0.041,-6.388,-12.248,-13.713,-9.806,-2.482,4.354,7.772,7.772,4.842,0.936,-2.482,-3.947,-3.947,-2.482,-1.506,-2.482,-3.459,-2.482,1.912,9.237,15.584,16.073,9.725,0.936,-3.947,-1.506,4.842,9.237,7.284,0.936,-2.482,0.936,10.701,19.002,19.491,12.655,3.377,-1.017,0.936,4.842,5.819,2.401,-1.506,-1.994,1.912,7.772,8.748,5.819,0.936,-1.994,-1.506,0.936,2.401,1.912,-0.041,-1.017,-1.994,-1.506,-1.994,-1.506,0.448,3.377,6.795,8.260,6.795,4.354,2.401,3.377,5.330,6.795,7.284,6.795,6.307,6.307,5.819,3.866,2.401,2.401,4.842,8.260,9.725,7.772,4.354,1.912,2.401,3.866,3.866,1.424,-1.506,-1.017,2.401,7.284,9.237,7.772,3.866,1.912,1.912,2.889,3.377,4.354,6.307,9.725,12.655,13.143,10.701,7.772,6.307,6.795,8.260,9.237,8.260,6.795,6.307,7.284,10.701,16.073,22.909,26.815,25.350,18.514,8.260,0.448,-0.529,3.377,7.772,9.237,6.795,3.866,3.866,7.772,11.190,11.190,7.772,3.377,2.889,5.330,8.748,6.795,0.448,-6.388,-8.341,-4.435,3.377,8.748,7.284,2.889,-0.041,1.424,5.330,7.772,5.819,2.889,2.401,7.284,13.631,16.073,13.631,8.748,5.330,5.819,7.284,6.307,2.889,2.401,7.284,17.049,23.397,21.932,12.166,1.424,-3.459,-1.506,2.401,1.912,-1.017,-2.482,3.866,15.584,26.326,29.744,25.838,21.932,22.420,29.256,37.069,40.487
3,F8,51,-8.514,-12.421,-13.885,-10.468,-3.143,5.157,10.040,10.040,5.646,-0.214,-3.632,-3.632,-0.214,3.204,3.693,0.763,-4.608,-10.468,-12.421,-11.444,-7.050,-3.143,0.275,2.228,3.693,5.157,4.669,2.228,-2.655,-6.561,-7.538,-4.120,1.251,6.134,9.064,9.064,8.575,8.087,8.087,6.622,4.669,1.740,-0.214,0.275,2.716,5.646,8.087,8.087,5.646,1.740,-1.678,-3.632,-4.608,-4.608,-4.608,-4.120,-2.167,1.251,3.204,3.693,2.716,1.740,0.763,-0.702,-2.655,-5.585,-7.538,-7.050,-5.585,-4.608,-7.050,-10.468,-12.909,-11.932,-7.538,-3.632,-2.655,-5.585,-9.491,-9.491,-6.073,0.275,5.646,8.087,6.622,2.716,0.275,0.275,2.228,4.181,5.157,4.669,5.157,8.087,11.993,15.411,15.900,13.458,10.040,9.064,10.529,13.458,15.900,16.388,16.388,17.365,19.806,22.247,21.759,17.853,11.017,5.646,3.204,4.669,7.599,9.064,8.575,7.111,7.111,8.087,10.040,10.529,9.064,6.134,2.716,0.763,-0.214,0.275,1.251,2.228,2.228,1.251,-0.214,-1.190,-0.702,1.251,3.693,5.646,5.646,4.181,3.693,4.181,6.134,7.599,6.622,3.204,-0.702,-4.120,-3.632,-0.702,2.228,3.693,2.716,1.251,1.251,2.228,3.693,2.716,0.763,-1.678,-2.167,-0.214,2.716,6.134,7.111,7.111,6.134,5.157,3.693,2.228,1.251,0.275,0.763,2.228,4.669,4.181,3.204,0.763,0.275,3.204,8.087,11.017,8.575,2.228,-4.608,-6.561,-3.143,2.716,5.157,2.228,-3.143,-5.585,-3.143,2.716,6.134,5.646,1.251,-1.678,-1.190,3.204,7.111,8.087,5.157,1.740,0.275,0.763,1.740,0.763,-2.167,-3.632,-2.167,1.740,6.134,7.111,4.669,1.251,0.763,3.693,7.111,9.064,7.111,4.669,5.157,9.552,14.923,16.388,12.970,6.622,2.228,2.716,7.599,12.482,14.435,12.482,8.575,4.669,1.740,1.251,1.740,3.204,5.157,6.134,7.599,9.064,11.505,14.923,16.876,16.876,14.923,14.435,17.365,25.665,36.896,48.615,55.450,55.939
4,AF1,51,-5.056,-5.056,-4.079,-1.149,2.268,4.710,5.686,4.710,4.710,5.198,6.175,6.175,4.222,0.804,-2.614,-5.056,-6.032,-5.544,-4.079,-2.126,-0.173,0.315,-0.661,-2.126,-3.103,-3.591,-4.079,-5.544,-8.474,-10.427,-10.427,-7.497,-2.614,1.292,3.245,2.268,-0.173,-2.126,-2.614,-2.126,-1.149,-0.173,-0.173,-0.661,-1.638,-2.614,-3.103,-3.103,-3.103,-2.614,-2.614,-3.103,-3.103,-3.103,-2.614,-2.126,-1.638,-1.638,-1.638,-0.661,1.292,3.245,4.710,4.222,2.268,-0.173,-2.614,-3.591,-4.567,-5.544,-7.009,-7.497,-7.985,-6.521,-4.567,-3.591,-3.591,-5.056,-6.032,-5.544,-4.567,-3.103,-1.638,-0.173,0.315,0.804,1.780,2.757,3.733,4.710,4.222,3.245,1.292,0.315,-0.173,0.804,1.780,2.268,2.268,2.268,2.757,4.222,6.175,7.151,6.175,4.222,2.268,1.780,1.780,2.757,2.268,1.780,-0.173,-1.149,-1.638,-1.638,-1.638,-1.638,-1.638,-1.149,-1.149,-0.661,-1.149,-2.126,-2.614,-3.103,-3.591,-4.567,-4.567,-4.079,-2.614,-0.661,1.292,2.268,2.268,1.780,0.804,0.315,-0.661,-0.173,0.804,1.780,2.757,3.245,3.245,2.268,-0.173,-3.103,-5.544,-6.032,-5.056,-3.591,-1.638,-1.149,-1.149,-2.126,-2.614,-2.614,-2.126,-1.638,-0.661,-0.661,-0.661,-1.149,-1.149,-0.661,-1.149,-1.638,-2.126,-3.103,-3.591,-3.591,-2.614,-1.638,0.315,2.757,4.222,4.710,4.222,2.757,1.780,1.292,1.292,1.780,2.757,3.733,5.198,6.175,5.686,3.245,-0.173,-2.614,-3.103,-2.126,0.315,1.292,1.780,2.268,3.245,4.222,4.222,3.245,1.292,-0.173,-0.173,1.292,2.268,2.268,2.268,2.757,4.222,5.198,5.198,3.245,0.804,-0.173,2.268,6.175,9.104,10.569,10.081,8.128,6.663,5.686,5.198,4.710,3.245,2.757,3.733,5.686,7.640,8.616,8.128,6.663,5.686,5.686,6.175,6.175,4.710,2.757,0.804,-0.661,-0.173,1.780,4.710,7.640,10.569,12.522,14.476,15.452,16.917,18.382,19.847,22.288,24.241,25.218
5,AF2,51,-3.347,-2.858,-2.370,-1.882,-1.394,0.071,1.536,2.513,3.489,3.489,3.001,2.024,0.071,-1.394,-3.835,-6.765,-9.206,-10.671,-10.183,-7.741,-4.323,-2.370,-1.882,-2.858,-3.835,-4.812,-5.788,-7.253,-9.694,-11.648,-12.136,-10.183,-6.276,-2.370,-0.417,-0.905,-2.858,-4.323,-4.812,-4.323,-3.835,-3.347,-3.347,-3.347,-3.347,-2.858,-2.370,-2.370,-2.858,-3.347,-4.323,-4.812,-5.300,-5.300,-4.812,-3.835,-2.370,-1.882,-1.882,-1.882,-1.882,-1.394,-0.905,-0.905,-2.370,-3.835,-5.788,-6.276,-8.230,-10.183,-11.648,-13.112,-12.624,-11.159,-8.718,-7.741,-7.741,-8.718,-9.694,-9.206,-8.230,-6.276,-4.323,-2.858,-2.370,-2.370,-1.882,-0.417,1.536,3.001,3.489,3.001,0.559,-1.394,-1.882,-1.394,0.071,2.024,2.513,3.001,3.489,4.466,5.442,5.442,5.442,3.977,2.513,1.536,1.048,1.048,0.071,-0.905,-2.858,-3.835,-3.835,-2.858,-1.394,-0.905,-0.905,-1.882,-2.370,-2.858,-2.370,-2.370,-2.370,-3.347,-4.323,-4.812,-4.812,-4.323,-3.835,-3.835,-3.835,-3.347,-2.858,-1.882,-0.905,-1.394,-1.882,-1.882,-1.882,-1.882,-1.394,-0.905,-1.394,-1.882,-3.347,-5.788,-7.253,-7.741,-6.765,-5.788,-4.323,-4.323,-4.812,-4.812,-4.812,-4.323,-4.323,-3.835,-4.323,-3.835,-3.835,-2.858,-2.370,-2.370,-3.347,-4.323,-5.300,-5.788,-5.300,-4.812,-4.323,-3.835,-3.347,-2.858,-1.882,-1.394,-0.905,-0.417,-0.905,-1.394,-1.882,-2.858,-3.347,-3.347,-2.858,-1.394,-0.905,-1.394,-2.858,-4.323,-4.323,-2.858,-0.905,0.559,1.048,-0.417,-1.882,-2.370,-2.370,-1.394,-0.417,0.559,1.536,2.024,2.024,1.048,0.559,-0.417,-0.905,-1.394,-1.394,-1.394,-0.417,1.536,3.489,5.931,7.884,8.372,7.884,6.907,5.442,4.466,3.489,3.001,2.024,2.024,3.001,4.466,5.931,5.442,3.489,1.536,-0.417,-1.394,-1.882,-1.882,-1.882,-1.882,-0.905,0.559,2.024,3.489,4.466,5.931,7.395,8.860,10.325,11.790,13.743,15.696,17.161,19.114,20.579,21.556
6,FZ,51,-1.221,-0.732,-0.732,-0.244,0.732,1.709,3.662,4.639,5.127,5.615,5.127,3.662,1.709,-0.244,-2.197,-3.662,-4.150,-3.662,-2.197,-0.244,1.709,2.686,2.197,1.709,0.244,-0.244,-1.221,-3.174,-4.639,-5.615,-6.104,-4.639,-2.686,-1.221,-0.732,-1.221,-2.197,-3.174,-2.686,-2.197,-0.732,-0.244,-0.244,0.244,0.244,0.732,1.709,2.197,3.174,2.686,2.686,1.709,1.709,1.709,2.197,2.686,3.174,3.662,3.662,4.150,4.150,5.127,5.127,4.639,3.662,2.197,1.221,0.732,-0.732,-1.709,-3.174,-4.150,-3.662,-3.174,-2.197,-2.197,-2.686,-3.174,-3.174,-2.197,-0.732,0.732,2.197,3.174,3.662,3.662,4.150,4.639,5.615,6.104,5.615,5.127,3.174,2.197,1.709,1.709,2.686,3.174,3.174,3.174,3.662,4.150,5.127,5.615,5.127,4.150,3.174,2.686,2.686,2.686,2.197,0.732,-0.732,-1.221,-0.732,-0.244,0.244,0.244,-0.244,-0.244,-0.732,-0.244,-0.244,0.244,-0.244,-0.244,-0.244,-0.732,-0.244,-0.244,0.244,1.221,1.709,2.197,2.197,2.197,1.709,1.221,0.732,0.732,1.221,1.221,2.197,2.197,2.197,1.221,-0.244,-2.197,-4.150,-4.639,-4.150,-2.686,-1.709,-1.221,-1.221,-1.221,-1.709,-1.709,-1.709,-1.709,-1.221,-1.221,-1.221,-0.732,-0.244,-0.244,-0.244,-0.732,-1.709,-2.686,-3.662,-3.662,-3.662,-2.686,-1.709,-0.244,0.732,1.709,1.709,1.709,1.221,0.244,-0.244,-0.732,-1.221,-1.221,-0.732,-0.244,0.244,-0.244,-1.221,-2.686,-3.174,-3.174,-1.709,-0.732,0.244,0.244,0.244,0.732,1.221,1.221,1.709,2.197,2.197,3.174,3.174,3.662,4.639,5.127,5.615,5.127,4.150,3.174,2.197,3.174,4.639,6.592,8.057,9.033,8.545,8.057,8.057,7.568,6.592,6.104,5.127,4.639,5.615,7.080,8.057,7.568,6.592,5.127,3.174,2.686,2.197,2.686,2.686,2.197,2.686,3.174,3.662,4.639,6.104,7.080,8.545,10.010,10.498,10.986,11.475,11.963,12.939,14.404,15.869,16.846
7,F4,51,-1.597,-0.621,-0.621,-0.621,-0.621,0.356,1.821,4.262,5.727,6.215,5.727,3.774,1.821,-0.132,-3.062,-5.503,-7.945,-8.433,-6.968,-3.550,-0.621,1.333,1.333,0.844,-0.132,-0.132,-0.132,-0.621,-2.085,-3.550,-3.550,-2.574,-0.132,1.333,1.821,0.844,-0.132,-0.621,-0.132,1.333,2.309,2.309,1.333,0.844,0.844,1.821,2.309,2.309,2.309,1.821,1.333,1.333,0.356,0.356,-0.132,0.356,1.333,2.309,2.797,2.309,2.309,2.309,3.286,3.286,2.797,1.821,0.844,-0.132,-1.109,-2.574,-4.527,-5.992,-6.968,-5.992,-3.550,-2.085,-0.621,-0.621,-0.132,0.356,1.333,1.821,2.797,3.286,3.774,4.751,6.215,7.192,8.657,10.122,10.610,9.633,7.192,4.751,2.797,2.797,4.262,7.192,9.145,10.610,10.610,10.122,10.122,10.122,10.122,9.145,8.169,6.704,6.215,5.727,6.215,5.727,4.262,2.797,2.309,3.286,4.262,4.751,4.262,2.797,1.821,2.309,3.774,4.751,4.751,3.286,2.309,1.333,1.333,1.821,1.333,1.333,0.844,1.333,2.309,3.286,3.774,3.774,3.774,3.774,4.262,4.262,4.262,4.751,4.262,4.262,3.286,1.333,-0.132,-1.109,-0.132,0.356,1.333,1.821,2.309,2.309,3.286,4.262,4.262,4.262,3.286,2.309,2.309,2.309,3.286,3.774,3.286,2.309,1.333,0.844,1.333,1.821,2.309,1.821,1.333,1.821,2.797,4.751,5.727,5.727,4.751,3.286,1.821,0.844,0.356,0.356,0.356,1.333,2.797,3.286,2.797,2.309,1.821,2.797,4.751,6.704,7.192,6.215,4.262,2.309,1.821,2.797,5.239,7.680,9.633,11.098,11.098,11.098,10.610,10.122,8.169,6.704,4.751,4.262,5.727,8.169,11.098,13.051,14.028,13.540,13.051,12.563,12.563,12.075,10.610,8.657,7.680,8.169,10.122,12.563,13.540,12.563,9.145,5.727,2.797,1.821,1.821,1.333,1.821,3.286,5.239,8.169,10.122,11.098,11.587,10.610,10.122,10.610,10.610,11.587,12.563,15.004,18.911,23.794,28.188,30.629
8,F3,51,-2.472,-2.960,-2.472,-1.007,1.434,3.876,5.341,5.341,4.852,5.341,4.852,4.364,1.923,-1.007,-2.960,-2.960,-1.007,1.923,3.876,3.876,2.899,1.434,0.946,0.458,0.458,-0.031,-1.495,-3.448,-5.402,-5.890,-4.913,-2.960,-1.007,0.946,1.923,1.434,0.946,-0.031,-0.519,-0.519,-0.031,0.458,0.946,0.946,0.458,-0.519,-1.007,-0.519,-0.031,0.458,0.946,0.458,0.458,1.434,1.434,1.434,-0.031,-0.519,-0.031,1.923,4.364,5.829,6.317,5.341,3.876,2.411,1.434,-0.031,-0.519,-1.495,-1.984,-1.007,-0.519,0.946,0.946,-0.031,-1.007,-2.960,-3.937,-3.937,-1.984,0.946,3.387,5.341,5.829,5.829,5.341,4.852,4.364,3.876,2.899,1.923,0.946,1.434,2.411,3.387,3.387,2.899,1.923,1.923,2.899,4.364,5.829,6.317,5.341,4.364,3.876,3.387,3.387,3.387,2.411,0.946,-0.031,-1.007,-1.007,-1.495,-1.984,-1.984,-1.007,-0.031,1.434,1.434,-0.031,-1.984,-3.937,-4.425,-3.937,-2.960,-1.984,-0.519,1.434,3.876,5.341,5.829,5.341,3.387,1.434,-0.031,-0.031,0.946,2.411,3.876,5.341,6.317,6.317,4.852,2.411,-1.007,-3.937,-4.913,-3.937,-1.495,0.946,1.923,1.923,1.434,0.458,-0.519,-1.007,-1.007,-1.495,-1.984,-1.007,-0.519,0.458,1.434,1.923,1.434,-0.031,-1.495,-2.960,-3.448,-2.472,-1.007,0.946,2.899,4.364,4.364,3.876,2.899,1.434,0.946,0.946,1.923,2.899,3.876,4.364,4.364,3.876,2.411,-0.031,-1.495,-2.472,-2.472,-2.472,-1.007,-0.031,1.434,3.387,3.876,3.876,2.411,0.946,-0.519,-1.007,-0.031,0.946,1.923,3.387,4.852,5.829,5.341,4.364,1.434,-0.519,-0.519,1.923,4.852,6.805,7.294,6.317,5.341,4.364,4.364,4.364,4.364,3.876,3.387,4.852,6.317,7.782,8.270,7.782,6.317,5.829,6.317,7.782,8.270,7.782,5.829,2.899,0.946,0.946,2.899,4.852,7.294,8.270,9.247,10.223,11.688,13.641,15.594,17.548,19.989,21.942,21.942
9,FC6,51,-6.846,-5.870,-4.893,-3.916,-1.963,-0.498,1.943,3.408,4.384,4.384,4.384,3.408,2.431,0.966,-0.987,-4.405,-7.823,-10.752,-11.241,-9.776,-7.334,-4.893,-3.916,-2.940,-2.940,-2.452,-1.963,-1.475,-1.963,-1.963,-1.475,-0.498,1.943,4.384,4.873,4.384,2.431,0.478,-0.010,0.478,0.478,-0.010,-0.010,-0.010,-0.010,0.478,0.478,-0.987,-2.940,-4.893,-4.893,-4.893,-4.405,-4.405,-3.916,-3.916,-3.916,-4.893,-5.870,-6.846,-6.846,-6.358,-4.893,-3.916,-4.893,-5.870,-7.334,-8.311,-8.799,-9.776,-11.729,-13.682,-14.170,-13.194,-11.241,-9.288,-7.823,-7.334,-7.334,-7.334,-6.846,-7.334,-6.846,-6.846,-5.381,-3.428,-1.963,-0.498,0.478,0.966,1.943,1.943,0.966,-0.987,-2.452,-2.452,-0.498,2.431,5.361,6.337,6.337,5.361,5.361,6.337,7.314,8.291,7.314,5.849,3.896,2.920,1.943,1.455,0.966,0.966,0.966,0.966,0.966,-0.010,-1.475,-2.452,-2.940,-1.963,-0.498,-0.010,-0.498,-1.963,-3.428,-4.405,-4.893,-4.893,-4.893,-5.381,-5.870,-5.381,-4.893,-3.916,-2.452,-1.963,-1.963,-1.963,-2.452,-3.428,-3.916,-3.916,-3.916,-3.428,-3.428,-4.405,-5.381,-5.870,-6.358,-5.870,-5.870,-5.381,-4.893,-3.916,-1.963,-0.987,-0.498,-0.987,-1.963,-2.940,-2.940,-3.916,-3.916,-3.916,-4.405,-4.893,-3.916,-2.940,-1.963,-1.963,-2.452,-3.428,-3.428,-2.940,-1.475,-0.498,-0.010,-0.010,-1.963,-3.916,-5.870,-7.823,-8.311,-8.311,-7.334,-6.846,-5.870,-5.381,-4.893,-3.916,-2.452,-1.475,-0.498,-0.987,-1.963,-3.916,-5.381,-7.334,-7.823,-7.334,-5.381,-2.940,-1.475,-0.498,-0.987,-2.452,-4.405,-6.358,-7.823,-7.823,-9.776,-9.776,-8.799,-6.846,-4.405,-2.452,-1.963,-2.452,-3.428,-3.916,-3.428,-2.940,-2.940,-2.940,-2.940,-1.475,0.966,2.920,3.408,1.943,-0.987,-4.405,-7.334,-8.799,-9.776,-10.264,-9.776,-7.823,-5.381,-2.940,-0.987,-0.498,-1.963,-2.940,-3.428,-1.963,0.478,4.384,7.802,13.173,19.521,25.869,31.728,33.681
