,filename,trials,samples,post_stim_samples,stimulation,trial
0,,,,,,
1,co2a0000369.rd,120,416,368,S1 obj,0
2,co2a0000369.rd,120,416,368,S2 nomatch,1
3,co2a0000369.rd,120,416,368,S1 obj,2
4,co2a0000369.rd,120,416,368,S2 match,3
5,co2a0000369.rd,120,416,368,S1 obj,4
6,co2a0000369.rd,120,416,368,S1 obj,6
7,co2a0000369.rd,120,416,368,S1 obj,8
8,co2a0000369.rd,120,416,368,S2 match,9
9,co2a0000369.rd,120,416,368,S1 obj,10
10,co2a0000369.rd,120,416,368,S2 match,11
11,co2a0000369.rd,120,416,368,S1 obj,12
12,co2a0000369.rd,120,416,368,S2 nomatch,13
13,co2a0000369.rd,120,416,368,S1 obj,14
14,co2a0000369.rd,120,416,368,S2 nomatch,15
15,co2a0000369.rd,120,416,368,S1 obj,16
16,co2a0000369.rd,120,416,368,S2 match,17
17,co2a0000369.rd,120,416,368,S1 obj,18
18,co2a0000369.rd,120,416,368,S2 nomatch,19
19,co2a0000369.rd,120,416,368,S2 nomatch,21
20,co2a0000369.rd,120,416,368,S2 match,23
21,co2a0000369.rd,120,416,368,S2 match,25
22,co2a0000369.rd,120,416,368,S2 match,27
23,co2a0000369.rd,120,416,368,S2 nomatch,29
24,co2a0000369.rd,120,416,368,S2 nomatch,31
25,co2a0000369.rd,120,416,368,S2 nomatch,33
26,co2a0000369.rd,120,416,368,S2 nomatch,35
27,co2a0000369.rd,120,416,368,S2 match,37
28,co2a0000369.rd,120,416,368,S2 nomatch,39
29,co2a0000369.rd,120,416,368,S2 match,41
30,co2a0000369.rd,120,416,368,S2 match,47
