,filename,trials,samples,post_stim_samples,stimulation,trial
0,,,,,,
1,co2c0000337.rd,120,416,368,S1 obj,0
2,co2c0000337.rd,120,416,368,S1 obj,2
3,co2c0000337.rd,120,416,368,S1 obj,16
4,co2c0000337.rd,120,416,368,S2 match,17
5,co2c0000337.rd,120,416,368,S2 nomatch,21
6,co2c0000337.rd,120,416,368,S2 match,23
7,co2c0000337.rd,120,416,368,S1 obj,24
8,co2c0000337.rd,120,416,368,S2 match,25
9,co2c0000337.rd,120,416,368,S1 obj,26
10,co2c0000337.rd,120,416,368,S2 match,27
11,co2c0000337.rd,120,416,368,S1 obj,28
12,co2c0000337.rd,120,416,368,S2 nomatch,29
13,co2c0000337.rd,120,416,368,S1 obj,30
14,co2c0000337.rd,120,416,368,S1 obj,32
15,co2c0000337.rd,120,416,368,S2 nomatch,33
16,co2c0000337.rd,120,416,368,S1 obj,34
17,co2c0000337.rd,120,416,368,S1 obj,36
18,co2c0000337.rd,120,416,368,S2 match,41
19,co2c0000337.rd,120,416,368,S2 nomatch,43
20,co2c0000337.rd,120,416,368,S2 match,47
21,co2c0000337.rd,120,416,368,S2 match,51
22,co2c0000337.rd,120,416,368,S2 nomatch,53
23,co2c0000337.rd,120,416,368,S2 match,55
24,co2c0000337.rd,120,416,368,S2 match,65
25,co2c0000337.rd,120,416,368,S2 nomatch,67
26,co2c0000337.rd,120,416,368,S2 match,71
27,co2c0000337.rd,120,416,368,S2 nomatch,73
28,co2c0000337.rd,120,416,368,S2 nomatch,83
29,co2c0000337.rd,120,416,368,S2 nomatch,87
30,co2c0000337.rd,120,416,368,S2 nomatch,89
