Channel_Number,Channel,Trial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,FP1,15,-0.437,0.051,-0.926,-4.344,-8.250,-11.668,-12.644,-10.203,-6.297,-1.902,0.539,1.027,-0.437,-2.391,-2.879,-2.391,-1.902,-1.414,-1.414,-1.414,-0.926,-0.926,-1.902,-2.879,-4.344,-5.320,-5.809,-5.320,-4.832,-3.855,-2.391,-0.926,0.051,-0.437,-2.391,-3.855,-3.855,-1.414,2.492,6.399,8.840,9.816,9.816,9.816,9.816,8.840,6.887,4.445,2.981,2.004,1.516,2.004,2.004,2.492,2.492,2.492,2.492,1.516,0.539,-1.414,-3.367,-5.320,-5.320,-3.855,-1.414,1.027,2.004,1.027,-0.926,-2.391,-1.902,0.051,1.516,1.027,-1.414,-4.344,-6.297,-6.297,-4.344,-1.902,0.539,1.516,1.027,-0.437,-1.902,-2.879,-2.391,-0.437,1.516,2.004,0.051,-3.855,-6.785,-6.785,-3.855,1.516,6.399,9.328,8.840,5.422,2.004,0.539,1.516,3.957,6.399,7.375,5.422,2.981,1.516,2.981,5.910,9.816,11.281,10.793,8.352,5.910,4.934,5.422,7.375,8.840,8.840,6.887,4.934,3.469,3.957,4.445,5.422,5.422,4.445,2.492,0.051,-0.926,-0.437,1.516,4.934,6.887,7.863,5.422,2.004,-1.414,-3.367,-2.879,-0.926,1.027,1.027,0.051,-0.926,-1.902,-2.391,-1.902,-1.902,-2.391,-2.391,-2.391,-1.902,-1.902,-3.367,-5.320,-6.785,-7.273,-6.785,-5.320,-4.344,-4.344,-4.832,-4.832,-3.855,-0.926,1.516,3.469,2.981,1.516,0.051,-0.437,0.051,1.027,2.492,3.957,4.445,4.445,3.469,2.004,0.539,1.027,4.445,9.816,14.211,15.676,14.699,12.258,10.793,10.793,11.281,11.770,11.281,10.305,9.816,8.840,7.375,4.934,2.981,2.981,4.445,6.887,8.352,8.840,8.352,8.840,9.328,10.305,10.793,10.793,10.305,9.328,8.352,6.887,5.910,6.887,9.328,12.746,15.188,16.164,15.188,12.746,11.281,10.793,12.258,14.211,16.164,17.141,16.652,15.676,13.723,11.770,10.793,10.305,10.793,12.258,13.234,13.723,13.234,12.746,12.258,12.746,14.211,15.188,15.188,14.211,13.234,13.234,13.723,14.211,15.188,15.676,15.676,16.164
1,FP2,15,-0.590,0.387,-0.590,-4.008,-9.379,-13.285,-14.750,-12.797,-7.914,-4.008,-2.055,-2.055,-3.520,-4.496,-4.008,-3.031,-2.543,-3.031,-4.008,-4.496,-4.008,-3.031,-2.543,-3.031,-4.008,-4.496,-4.985,-4.985,-5.961,-5.473,-3.031,-0.102,2.340,1.363,-1.567,-5.473,-6.938,-4.985,0.875,6.246,9.664,10.152,8.687,7.711,6.246,5.269,3.805,1.851,0.875,0.875,1.363,2.340,2.340,1.851,1.363,0.875,-0.102,-1.078,-2.543,-4.496,-6.449,-7.914,-8.403,-6.938,-5.473,-3.520,-3.031,-3.031,-4.008,-4.985,-4.496,-3.031,-2.055,-2.543,-4.496,-6.938,-8.891,-8.403,-5.961,-2.055,1.851,2.828,2.340,0.387,-2.055,-3.031,-2.055,-0.102,1.851,1.363,-1.567,-5.473,-8.891,-8.403,-5.473,0.875,6.246,8.687,7.711,4.293,0.875,-1.078,0.387,2.828,5.269,5.758,3.805,1.363,-0.102,0.875,4.293,7.711,10.152,10.152,8.199,5.758,4.293,4.293,5.269,6.734,7.222,6.246,3.805,1.851,0.387,0.387,1.363,1.851,2.340,1.851,-0.102,-1.078,-1.078,0.387,2.828,4.781,4.781,2.828,-0.102,-3.031,-4.008,-3.031,-1.567,-0.102,-0.590,-1.567,-3.031,-4.008,-4.496,-4.008,-3.520,-3.520,-3.520,-3.031,-2.543,-3.031,-4.496,-5.961,-6.938,-6.938,-5.473,-4.496,-4.008,-4.008,-4.496,-4.008,-2.055,0.875,3.316,4.781,3.805,2.828,1.363,0.875,0.875,1.363,1.851,2.828,4.293,4.781,3.805,2.340,0.875,1.851,5.758,10.640,15.035,16.012,14.058,11.129,9.176,9.664,11.129,12.105,12.105,10.152,8.199,6.734,5.269,4.293,3.805,4.781,6.734,9.176,10.640,11.129,10.640,10.640,10.640,10.640,10.152,9.664,9.176,9.176,8.687,8.199,7.711,8.199,9.664,11.129,13.082,13.570,13.082,12.105,11.129,11.617,12.594,14.547,15.523,16.012,15.523,14.547,12.594,11.129,10.152,9.664,10.152,11.129,11.617,11.617,11.617,10.640,10.640,11.129,12.105,13.082,12.594,11.617,10.152,9.664,10.152,11.129,12.105,12.105,11.617,11.129
2,F7,15,0.498,2.452,1.963,-0.966,-4.873,-8.779,-10.732,-9.267,-6.337,-2.431,1.475,2.940,1.963,-0.966,-4.384,-6.337,-6.826,-5.361,-2.431,0.987,2.452,2.452,-0.478,-3.896,-7.802,-9.755,-10.244,-8.779,-6.826,-4.873,-3.896,-4.384,-5.361,-7.314,-8.291,-7.314,-4.384,-0.478,2.452,4.405,4.893,4.893,4.893,5.870,6.358,6.358,5.381,3.916,2.940,0.987,0.010,-0.966,-1.455,-0.966,0.987,3.428,4.893,4.405,2.452,-0.966,-4.384,-6.337,-4.873,-1.455,2.452,5.381,5.870,3.428,0.010,-2.431,-2.431,-0.478,2.452,3.916,2.940,0.010,-3.896,-6.826,-8.291,-7.314,-5.361,-3.408,-1.943,-1.455,-1.455,-0.966,-0.478,0.987,1.963,2.452,1.475,-0.478,-1.943,-2.920,-2.431,0.498,3.428,5.870,5.870,2.940,0.010,-1.455,-0.478,1.475,3.916,3.916,1.963,-0.478,-2.431,-1.943,0.010,1.963,3.428,2.452,1.475,0.010,-0.478,0.010,1.475,1.963,0.498,-1.455,-3.896,-4.873,-4.384,-2.920,-1.455,-0.966,-1.943,-4.384,-6.826,-8.291,-8.291,-6.826,-3.896,-0.966,0.010,-0.966,-3.896,-7.314,-9.267,-9.267,-7.802,-5.849,-4.873,-5.361,-5.849,-6.337,-6.337,-6.826,-7.314,-7.802,-8.291,-8.291,-7.314,-7.314,-9.267,-12.197,-15.127,-16.591,-15.615,-12.685,-9.755,-8.291,-7.802,-7.802,-7.314,-4.873,-2.431,-1.943,-2.920,-5.361,-6.826,-6.337,-4.384,-1.455,0.498,0.987,0.010,-1.943,-4.873,-7.314,-8.291,-7.314,-2.431,3.428,7.823,9.776,9.288,8.311,7.334,7.334,6.846,4.893,3.428,2.940,3.916,5.381,4.893,2.452,0.010,-1.455,-0.966,0.498,1.475,1.963,0.987,1.475,2.452,3.916,5.381,6.358,6.358,5.381,3.428,0.987,-0.478,0.498,4.405,9.288,12.705,12.705,9.776,5.870,2.940,2.452,4.405,6.846,8.311,8.799,8.311,6.846,5.870,4.893,3.916,2.452,1.963,2.452,3.916,4.893,4.893,3.428,2.940,3.428,5.381,8.311,9.288,8.799,7.334,5.870,5.870,7.334,8.799,9.776,10.264,11.241
3,F8,15,3.398,5.839,5.839,1.933,-3.438,-8.321,-9.298,-7.345,-2.950,-0.020,0.956,-0.509,-2.950,-4.415,-3.927,-2.950,-1.973,-1.973,-2.950,-3.438,-2.950,-2.462,-1.973,-2.462,-3.438,-4.903,-6.856,-7.345,-6.368,-3.438,0.468,3.886,4.862,2.421,-3.438,-9.298,-12.227,-10.274,-3.927,2.909,7.304,7.304,4.374,0.468,-2.462,-3.927,-3.927,-2.950,-1.973,0.468,2.421,4.374,4.374,2.421,-0.020,-2.462,-3.927,-3.927,-2.950,-3.438,-5.880,-9.298,-12.227,-13.204,-11.251,-8.321,-6.368,-5.880,-5.880,-5.880,-5.391,-3.927,-2.950,-3.438,-4.903,-5.880,-5.391,-3.438,-0.509,1.933,3.886,4.862,5.351,4.862,4.374,3.886,4.374,5.839,7.304,6.327,3.398,-1.485,-5.880,-6.368,-3.438,1.444,5.351,6.816,5.351,3.398,1.933,1.933,1.933,1.444,0.956,-0.020,-1.485,-2.462,-3.927,-4.415,-3.927,-1.485,1.933,3.398,2.421,-0.509,-3.438,-3.927,-2.462,-0.020,-0.020,-2.462,-6.368,-10.274,-11.251,-11.251,-10.274,-9.298,-8.321,-7.345,-6.368,-4.903,-4.415,-4.415,-4.415,-4.903,-5.880,-7.345,-8.321,-8.809,-8.321,-7.345,-6.368,-6.856,-8.809,-10.763,-12.716,-13.204,-12.227,-11.739,-10.763,-10.274,-9.786,-10.274,-11.739,-14.181,-16.134,-17.110,-16.134,-13.204,-9.786,-7.833,-7.345,-7.833,-8.321,-7.345,-4.903,-1.973,0.468,0.956,0.468,-0.997,-2.950,-4.415,-4.903,-4.415,-3.438,-1.485,-0.020,0.956,0.468,-1.485,-3.438,-3.438,-0.997,3.398,7.304,8.280,6.327,3.398,1.444,1.444,2.421,2.909,1.444,-0.997,-2.950,-3.438,-2.462,-1.485,-0.020,0.468,0.956,1.444,1.933,2.421,2.909,2.909,2.909,1.933,0.468,-0.997,-1.485,-0.509,-0.020,-0.020,-0.997,-1.485,-0.997,0.956,2.909,3.886,3.886,2.909,2.421,2.421,3.886,5.839,6.327,6.327,4.862,3.398,1.444,0.468,-0.509,-0.509,-0.509,-0.020,0.468,0.468,0.468,-0.509,-0.509,-0.509,0.468,1.933,2.421,2.421,1.444,-0.020,-0.020,0.468,0.956,0.956,-0.509,-2.950
4,AF1,15,-0.142,0.834,-0.631,-4.049,-7.955,-11.373,-12.349,-10.396,-6.490,-2.584,0.834,1.322,0.346,-1.119,-2.096,-1.607,-1.607,-1.119,-0.631,-0.631,0.834,1.811,2.299,1.322,-0.631,-2.584,-3.072,-2.584,-1.607,-0.631,0.346,1.322,1.811,1.811,0.834,-0.142,-0.142,2.299,5.717,9.135,11.088,12.065,12.553,12.553,12.553,12.065,10.600,8.647,6.694,5.717,5.229,5.229,6.205,6.694,7.182,7.182,7.182,6.694,5.717,4.252,2.299,0.834,0.834,2.299,4.740,6.694,6.694,4.740,1.811,-0.631,-0.631,1.322,2.787,2.787,1.322,-1.607,-3.560,-4.537,-3.072,-1.119,0.834,2.299,2.299,1.811,0.346,-0.631,-0.142,0.834,2.787,3.276,2.299,-0.142,-2.584,-2.096,0.834,5.229,9.135,11.576,11.576,9.623,7.670,7.182,8.158,10.600,12.065,12.065,10.111,7.670,6.694,8.158,11.088,14.994,16.947,15.483,11.088,6.694,4.252,4.740,6.694,9.135,10.111,9.135,7.182,5.229,4.252,4.252,4.740,4.740,3.764,2.299,-0.142,-1.119,-0.631,0.834,3.276,5.229,5.717,3.764,1.322,-1.607,-3.072,-2.584,-1.607,-0.142,-0.631,-1.607,-3.560,-4.049,-3.560,-3.072,-2.096,-2.584,-2.584,-2.584,-1.607,-0.631,-1.119,-2.096,-4.049,-5.025,-5.025,-3.560,-2.096,-2.096,-2.584,-3.560,-2.584,-0.142,2.787,4.740,4.252,2.299,-0.142,-1.119,-1.119,0.346,1.811,3.276,4.740,5.229,5.229,3.764,2.299,2.299,4.740,9.135,12.553,14.506,14.018,13.041,11.576,11.576,11.576,11.088,11.088,10.600,10.600,10.111,8.158,5.717,4.252,4.252,6.205,8.158,8.647,8.647,8.158,8.647,9.623,10.111,10.111,9.623,9.135,8.647,7.182,6.205,5.229,6.205,8.158,10.600,12.553,12.065,11.088,9.623,9.135,10.111,12.065,14.018,15.483,16.947,16.459,15.971,14.018,12.065,10.600,10.111,11.576,13.041,14.994,15.483,14.506,14.018,13.529,14.506,15.971,17.436,17.436,16.459,14.994,14.506,14.994,15.483,16.947,18.412,19.389,20.365
5,AF2,15,-0.244,0.732,-0.244,-3.174,-8.057,-11.963,-13.428,-11.475,-7.568,-2.686,-0.244,0.244,-1.221,-2.686,-3.174,-2.197,-1.709,-2.197,-2.686,-3.174,-2.197,-0.732,0.732,0.732,0.244,-1.221,-2.197,-2.686,-2.686,-2.197,-0.732,1.221,3.662,3.662,1.709,-1.709,-3.174,-1.709,2.686,7.568,10.986,12.451,11.475,10.010,8.545,7.080,6.104,5.127,4.639,4.150,4.150,3.662,4.150,4.150,4.639,4.639,4.150,3.174,1.709,-0.244,-1.709,-3.174,-2.686,-1.709,0.244,2.197,2.197,0.732,-1.709,-3.174,-3.174,-1.709,-0.244,-0.732,-3.174,-5.615,-8.057,-7.568,-5.127,-2.197,0.732,2.197,2.686,1.709,0.244,-0.244,0.732,2.197,4.150,4.150,2.197,-1.221,-3.662,-3.174,0.244,5.127,9.521,11.475,10.986,9.033,7.080,6.104,7.080,9.521,10.986,11.475,9.521,7.080,5.615,6.104,9.033,12.451,14.404,13.428,10.498,7.080,4.150,4.639,6.592,9.033,10.498,9.521,7.568,5.127,3.174,2.197,2.197,2.686,3.174,3.174,2.686,1.709,1.221,1.709,2.686,3.662,3.174,2.197,-0.244,-1.709,-2.686,-1.709,-0.732,-0.244,-1.221,-3.174,-5.127,-6.104,-5.615,-4.150,-2.197,-1.709,-1.709,-1.709,-2.197,-2.686,-3.174,-4.150,-4.639,-4.639,-4.150,-3.174,-2.686,-3.174,-4.150,-3.662,-1.709,1.221,4.639,6.592,6.592,4.150,2.197,0.732,0.732,0.732,1.221,2.686,3.662,4.639,5.127,4.150,2.686,2.686,4.639,8.545,11.963,13.916,12.939,10.986,10.010,10.010,10.986,11.475,10.498,9.033,7.568,6.592,6.104,6.104,6.104,6.592,8.057,10.010,10.986,11.963,12.451,12.939,12.451,10.986,10.010,9.033,9.033,9.033,9.033,8.545,8.057,8.057,9.033,10.986,12.451,13.428,13.428,12.939,12.451,13.428,14.404,15.869,17.334,17.822,17.822,16.846,15.381,14.404,13.916,13.916,14.893,15.869,16.357,15.381,14.893,14.404,14.893,15.869,17.334,17.822,17.334,15.869,13.916,12.451,12.451,12.451,13.428,14.404,15.381,15.869
6,FZ,15,-1.963,-1.475,-1.963,-4.405,-7.823,-10.752,-11.729,-9.776,-6.358,-2.452,-0.010,0.966,0.478,-0.498,-0.498,-0.498,-0.498,-1.475,-1.963,-1.475,0.478,1.455,1.943,0.966,-0.010,-0.987,-0.987,-0.498,-0.498,-0.498,-0.010,0.478,1.455,1.943,0.966,-0.010,-0.498,0.478,3.408,6.826,9.267,11.220,12.197,12.197,11.220,9.755,8.291,6.826,5.849,5.361,4.873,4.873,4.873,5.849,6.826,7.314,7.314,5.849,4.873,2.920,1.943,1.455,1.943,2.920,4.384,5.361,4.873,3.408,0.966,-0.987,-0.987,0.478,1.943,1.943,-0.010,-2.452,-4.405,-4.893,-4.405,-2.940,-0.987,-0.010,0.966,1.455,0.966,0.966,1.455,2.431,3.896,4.873,4.384,2.920,0.966,0.966,2.920,5.849,8.779,10.732,10.732,9.267,8.291,7.802,9.267,11.220,12.197,11.709,9.755,7.314,5.849,6.826,9.755,12.197,13.173,11.709,8.291,4.384,2.431,2.920,5.361,8.291,9.755,9.755,8.291,6.337,4.384,2.920,2.920,3.408,3.408,3.408,2.920,1.943,1.455,1.455,2.431,2.920,3.408,2.431,1.455,-0.010,-0.987,-0.987,-0.498,-0.010,-0.987,-2.452,-3.916,-4.405,-3.428,-1.963,-0.498,-0.010,-0.498,-0.987,-0.987,-0.010,-0.010,-0.498,-1.963,-2.452,-1.963,-0.987,-0.498,-0.498,-1.963,-2.452,-1.475,1.455,4.384,6.826,6.337,4.384,2.920,1.455,0.478,0.478,0.966,1.943,3.896,5.849,6.826,6.337,4.873,3.408,3.896,6.337,9.267,11.709,12.685,12.685,12.197,11.220,11.220,10.244,9.755,9.755,9.755,9.755,9.267,8.291,7.314,6.826,7.802,8.779,10.244,11.220,12.197,12.685,12.197,11.220,9.755,8.779,8.779,8.291,8.291,7.802,7.314,7.314,8.779,10.244,11.220,11.220,10.244,10.244,11.220,12.685,14.150,15.615,16.591,16.591,17.080,16.103,14.638,13.662,13.173,14.150,15.615,17.080,17.568,17.080,16.591,16.103,17.080,18.545,19.521,20.498,20.009,18.545,17.080,15.127,14.150,14.150,15.615,17.080,19.033,20.498
7,F4,15,3.103,4.567,3.591,-0.315,-5.198,-9.104,-10.081,-7.640,-3.733,-0.315,0.661,0.173,-1.780,-3.245,-3.733,-3.733,-3.245,-2.757,-2.268,-1.780,-1.292,-0.315,0.173,0.661,-0.315,-0.804,-1.780,-2.757,-3.245,-2.268,0.173,3.103,5.056,4.567,1.149,-3.245,-5.198,-3.245,1.149,6.521,9.939,10.427,8.474,6.032,3.591,2.614,3.103,4.079,5.056,6.032,6.032,5.544,5.056,4.079,4.079,4.079,3.591,3.103,2.614,1.149,-0.804,-2.268,-3.245,-2.757,-1.780,-0.315,-0.315,-1.292,-3.245,-4.222,-3.245,-1.780,-0.315,-0.804,-2.268,-4.222,-5.198,-3.733,-1.292,1.638,3.591,4.567,4.567,4.079,3.103,3.103,4.079,5.544,6.521,6.521,4.079,0.661,-1.292,-0.804,2.126,6.032,9.450,10.427,9.939,7.985,6.521,6.032,6.521,7.985,8.474,7.985,6.521,5.056,3.103,3.591,5.544,8.474,10.427,10.427,7.985,4.079,1.638,1.149,3.103,6.032,7.009,6.032,3.591,0.661,-1.780,-3.245,-2.757,-1.292,0.661,2.126,3.103,2.126,1.149,0.173,-0.315,-0.804,-1.292,-2.268,-2.757,-2.757,-2.757,-1.780,-1.292,-1.780,-3.245,-5.198,-7.151,-8.128,-7.640,-5.686,-3.245,-1.780,-1.292,-2.268,-3.733,-5.198,-6.663,-6.663,-6.175,-5.198,-3.733,-2.757,-2.757,-3.733,-4.222,-4.222,-1.780,1.638,4.567,5.544,4.567,2.126,0.661,-0.804,-1.292,-1.292,-1.780,-0.804,0.173,1.638,2.614,1.638,0.173,-0.315,1.149,4.079,7.009,7.985,7.009,5.544,4.567,5.056,5.544,5.544,4.079,2.126,0.661,0.661,1.638,2.614,3.103,3.591,4.079,5.056,6.032,7.009,7.985,7.497,6.032,4.079,2.614,1.638,2.126,3.103,3.591,3.591,2.614,2.126,2.126,4.079,6.032,7.009,7.985,7.985,7.985,8.962,9.939,10.915,11.403,11.403,9.939,8.962,7.985,7.497,7.985,7.985,8.474,8.474,8.962,8.474,8.474,8.474,9.450,10.915,11.403,11.892,10.915,9.939,8.474,7.009,7.009,6.521,7.009,7.009,7.009,7.009
8,F3,15,-0.539,0.437,-0.051,-2.004,-4.934,-7.863,-9.328,-8.352,-5.422,-2.004,0.437,1.414,0.437,-0.539,-1.027,-1.027,-2.004,-2.492,-2.004,-1.027,0.926,1.902,1.902,-0.051,-2.492,-3.957,-4.445,-3.957,-2.492,-2.004,-1.516,-1.027,-0.539,-1.027,-1.027,-0.539,0.926,3.367,5.320,6.785,7.762,8.250,9.226,10.691,11.668,11.180,10.203,8.738,7.273,6.297,5.320,5.320,5.320,5.809,6.297,7.273,7.762,7.273,6.785,5.320,3.855,2.879,3.367,4.344,6.297,7.762,7.273,5.320,2.879,0.437,0.926,2.879,4.832,5.809,4.832,2.391,-0.539,-1.516,-1.516,-1.027,-0.051,0.926,1.414,1.902,1.414,0.926,0.926,1.414,2.391,2.879,2.879,1.902,0.926,0.926,1.902,4.344,7.273,9.226,9.715,8.738,6.785,5.809,6.785,8.250,9.715,10.203,9.226,7.273,6.297,7.273,9.226,11.668,12.644,11.180,7.762,4.832,2.391,2.879,4.344,6.297,6.785,5.809,3.855,2.391,1.414,1.902,1.902,1.902,0.926,-0.539,-2.004,-3.469,-2.981,-1.516,0.926,2.879,3.367,2.391,-0.051,-2.492,-3.469,-3.469,-2.492,-1.516,-1.516,-2.004,-2.981,-2.981,-2.981,-2.492,-2.492,-2.981,-2.492,-1.027,-0.051,1.902,1.902,0.437,-1.516,-2.981,-2.492,-1.516,-0.539,-0.539,-1.027,-1.027,-1.027,0.437,2.391,3.855,2.879,1.414,-0.539,-1.027,-0.539,1.414,2.879,4.344,4.344,4.344,2.879,1.414,-0.051,-0.051,1.902,5.320,8.738,10.691,11.180,11.180,10.691,10.691,9.715,8.738,7.762,7.762,8.250,8.738,7.762,5.809,3.855,2.879,3.367,3.855,3.855,3.367,2.879,3.367,4.344,5.809,6.785,7.273,6.785,5.809,4.344,2.879,2.391,3.367,5.320,7.762,8.738,8.250,5.809,3.367,2.879,3.855,5.809,8.250,9.715,11.180,11.668,11.180,9.715,8.250,6.297,5.809,6.297,8.250,10.203,11.180,11.180,10.203,9.715,10.203,11.180,13.133,13.133,12.644,11.180,10.203,11.180,12.156,14.109,15.574,16.551,17.527
9,FC6,15,4.171,5.636,4.659,1.729,-2.665,-6.571,-8.036,-6.083,-2.665,-0.224,0.264,-1.200,-3.642,-5.595,-5.595,-4.618,-4.130,-4.130,-4.130,-3.642,-2.665,-2.177,-2.665,-3.642,-4.618,-5.595,-6.571,-7.060,-6.083,-3.642,-0.712,1.729,3.194,1.241,-2.665,-7.060,-8.525,-6.571,-2.177,2.706,4.659,3.682,0.264,-2.665,-4.618,-5.107,-4.130,-2.665,-1.200,0.264,2.218,2.706,2.706,1.729,-0.224,-1.689,-1.689,-1.200,-0.224,-0.224,-1.689,-4.618,-6.571,-7.060,-6.083,-4.130,-3.153,-3.153,-3.642,-4.130,-3.642,-2.665,-1.689,-1.689,-2.177,-3.153,-3.153,-1.689,0.264,2.218,3.682,4.171,4.171,3.194,2.218,0.753,1.241,2.706,4.659,5.147,2.706,-0.712,-4.130,-4.130,-2.665,0.753,3.682,5.147,5.147,4.171,3.194,2.218,1.729,1.241,1.241,1.241,0.264,-1.200,-2.665,-3.153,-2.177,-0.224,2.218,3.194,2.218,0.264,-1.689,-1.689,-0.224,1.241,1.729,-0.224,-2.665,-5.595,-7.548,-8.036,-7.060,-5.595,-3.642,-2.177,-1.689,-1.689,-2.665,-3.642,-4.130,-4.130,-3.642,-3.642,-4.130,-4.130,-4.618,-4.618,-4.130,-3.642,-4.618,-5.595,-7.060,-8.036,-7.548,-6.571,-5.595,-4.130,-3.153,-3.642,-5.595,-8.525,-11.454,-12.431,-10.966,-8.036,-5.595,-3.642,-4.130,-5.595,-6.083,-4.618,-2.177,1.241,3.194,4.659,3.682,2.218,0.264,-0.712,-1.200,-0.712,-0.224,0.753,1.729,1.729,1.241,0.264,-0.224,0.264,2.218,5.147,7.100,7.589,6.124,4.171,2.706,2.706,3.194,3.194,2.706,0.753,-0.712,-0.712,-0.224,1.241,2.706,3.194,3.682,3.194,3.682,3.682,4.171,4.659,3.682,2.218,0.753,-0.224,0.264,1.729,2.706,2.706,1.729,0.753,0.753,1.241,3.194,4.171,4.659,3.682,3.682,4.659,6.124,7.589,7.589,7.100,6.124,4.659,3.194,2.218,1.729,1.241,1.241,1.729,2.218,2.706,3.194,3.194,3.682,4.171,5.147,6.124,6.124,5.147,3.194,2.218,1.729,2.218,2.218,1.241,-0.224,-1.200
