Channel_Number,Channel,Trial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,FP1,30,-3.55,-5.015,-5.503,-3.55,-0.621,1.821,2.309,0.844,0.844,3.286,7.68,10.122,9.145,5.239,0.844,-0.621,2.309,6.215,7.192,4.262,-1.109,-5.503,-6.48,-4.038,-0.132,1.821,1.821,0.356,-0.132,1.821,4.262,6.704,7.192,5.727,4.262,3.774,4.751,6.704,8.169,8.169,7.68,7.68,8.657,11.098,13.54,14.516,13.54,11.098,8.657,7.68,8.169,9.145,8.657,6.704,3.286,1.333,0.356,1.333,2.309,1.821,0.356,-0.621,-0.132,2.309,5.239,7.192,6.704,5.239,4.262,4.751,5.727,7.192,7.192,4.751,2.797,2.309,4.751,9.145,13.051,14.516,13.54,10.61,8.657,10.122,13.051,15.493,16.469,14.028,11.587,10.122,11.098,13.54,15.981,16.469,15.004,12.563,10.61,10.61,12.075,15.004,17.446,18.911,19.399,19.399,20.376,22.329,23.305,23.794,22.817,20.864,19.399,18.422,17.446,15.981,14.028,12.075,12.075,13.54,14.516,14.516,13.54,12.075,12.563,14.028,15.981,15.981,15.004,13.051,13.051,13.051,13.54,12.075,8.169,3.286,0.356,-0.621,0.844,0.844,0.356,-0.621,-0.132,1.821,4.751,6.704,6.704,4.262,0.844,-0.621,0.356,2.797,4.751,5.239,5.239,4.751,5.239,5.727,5.727,4.751,2.797,0.356,-1.109,-1.109,-0.132,2.309,4.751,6.704,6.704,6.704,6.704,7.68,9.145,10.122,10.122,8.169,5.727,2.797,1.821,0.844,0.844,1.333,1.333,2.309,3.286,4.751,5.239,6.215,7.192,8.169,8.169,7.68,6.704,6.704,7.192,8.169,8.657,7.192,4.751,2.797,2.309,2.797,2.797,3.774,5.727,7.68,9.145,9.145,7.192,5.239,4.751,6.704,8.657,9.633,9.145,7.68,7.192,7.68,8.169,8.657,8.169,7.68,7.68,7.192,6.704,6.215,5.239,4.262,3.774,4.751,6.704,8.169,8.657,6.704,2.309,-1.109,-3.062,-1.597,2.309,7.192,10.122,11.098,10.122,8.657,7.68,7.192,6.704,6.704,5.727,4.751,3.774,4.751,6.215,6.215,4.751,1.333,-1.109,0.356
1,FP2,30,-4.476,-3.499,-1.058,1.383,3.337,2.848,2.36,2.848,4.801,7.731,8.708,7.731,3.825,-0.57,-3.011,-2.035,1.383,5.29,5.778,3.825,-0.57,-4.476,-5.452,-3.988,-2.035,-2.035,-3.499,-5.941,-6.429,-3.011,3.825,10.661,14.079,12.614,8.219,3.337,0.895,1.383,4.801,7.731,9.196,9.196,8.708,9.196,11.149,13.59,13.59,11.149,5.778,1.383,1.872,7.731,13.59,15.055,9.196,-0.081,-5.941,-3.011,5.29,12.126,12.126,6.266,-0.57,-2.523,0.407,5.29,8.219,7.731,7.731,9.196,11.149,12.614,10.661,6.266,2.848,2.848,6.755,11.637,15.055,16.032,15.544,14.567,13.59,13.102,11.149,10.173,10.661,13.102,17.008,19.938,20.915,19.45,17.497,15.544,14.079,13.59,13.59,14.567,16.52,18.473,19.938,20.426,20.426,20.426,20.426,20.426,20.915,20.426,19.938,18.473,16.032,13.59,11.637,11.637,13.59,16.52,18.473,18.962,16.52,13.102,9.196,7.243,7.731,9.684,12.614,14.567,15.055,14.567,14.567,14.079,13.59,10.661,5.29,-1.546,-6.429,-7.406,-5.452,-1.546,1.383,2.36,1.872,1.383,1.872,2.848,3.337,2.848,0.895,-1.058,-2.523,-3.011,-1.546,1.383,5.778,10.173,11.637,9.684,4.801,-0.081,-2.523,-1.546,0.895,1.872,1.872,1.383,1.872,4.801,7.243,8.219,8.219,8.708,10.173,11.149,10.661,7.731,3.825,1.383,1.383,2.36,2.848,2.36,0.895,0.407,0.895,1.383,3.337,5.29,7.731,10.173,10.173,8.708,5.778,4.801,5.29,7.731,9.196,8.219,5.778,2.36,0.895,1.383,2.848,3.825,4.801,5.778,5.778,5.29,4.313,3.337,2.848,4.801,6.266,6.755,5.778,4.801,5.29,8.219,11.637,12.614,10.661,6.755,3.825,3.337,4.801,6.755,7.243,6.755,5.29,3.825,2.848,2.848,0.895,-1.546,-5.452,-7.406,-6.429,-2.035,5.29,11.637,14.079,12.126,7.243,1.872,0.407,2.36,6.755,9.684,8.219,2.848,-2.523,-4.476,-0.57,5.778,10.173,9.684,5.778,2.36
2,F7,30,-1.017,-3.947,-5.9,-4.924,-2.97,-1.994,-1.994,-2.97,-1.017,4.354,9.725,13.631,12.655,6.795,1.424,-1.994,0.448,5.819,9.237,7.772,1.912,-5.412,-7.853,-4.435,3.377,9.237,9.237,5.33,-0.041,-1.994,-0.529,1.912,2.889,2.401,2.889,4.354,5.819,5.33,3.377,1.912,3.866,8.26,12.655,13.143,9.237,4.354,0.936,0.936,3.866,6.307,7.772,7.284,5.819,3.377,0.448,-1.994,-2.97,-1.506,0.448,1.424,0.936,-1.017,-2.482,-2.482,-0.041,3.377,5.819,5.819,4.354,2.401,1.912,3.866,5.819,6.795,5.33,1.424,-3.459,-5.9,-5.9,-2.97,0.448,4.842,8.26,11.678,13.631,13.631,11.19,8.26,5.819,5.33,6.795,9.237,10.213,8.26,4.842,0.936,-0.041,1.424,5.819,10.213,12.655,12.655,12.166,13.631,16.561,19.002,18.514,14.119,8.748,6.307,8.26,13.631,18.026,17.537,13.143,7.284,2.889,3.377,4.842,5.819,4.354,2.889,1.912,3.866,6.795,8.748,9.237,8.748,8.26,8.26,8.748,8.748,6.307,2.401,-1.994,-5.412,-6.877,-6.877,-4.924,-3.947,-3.947,-4.435,-3.459,-1.017,1.912,3.866,3.377,0.448,-3.947,-5.9,-4.924,-2.97,-0.041,0.936,0.448,-0.041,-1.994,-3.947,-5.9,-5.9,-4.435,-1.506,-0.041,-0.041,-2.482,-3.947,-3.947,-1.994,0.448,1.912,2.889,2.889,3.866,4.354,2.889,0.936,-2.482,-4.924,-5.412,-3.947,-0.529,2.889,4.842,5.33,4.354,4.354,4.354,3.866,0.936,-2.97,-5.412,-3.459,2.401,8.748,12.166,9.725,4.842,-0.041,-1.506,0.448,2.889,4.354,5.819,7.772,10.213,9.725,5.819,-0.041,-3.947,-2.97,3.377,11.19,15.584,14.608,9.725,4.842,3.377,5.819,10.701,14.119,12.655,8.26,2.889,-1.017,-1.506,-1.506,-1.994,-2.482,-1.017,3.866,9.725,12.166,8.26,0.448,-6.388,-6.877,-1.017,5.819,7.284,2.889,-3.947,-7.853,-4.435,4.354,12.655,15.096,11.678,4.842,-0.529,-1.994,-0.529,1.424,0.936,-2.97,-5.9,-6.388
3,F8,30,-0.661,5.198,10.569,13.987,13.499,9.593,4.222,1.292,1.78,5.198,7.64,7.151,4.222,1.292,-0.173,-0.661,-1.638,-2.614,-2.126,1.292,6.175,9.104,8.616,1.78,-7.985,-17.751,-22.634,-20.192,-8.962,6.175,18.87,23.265,16.917,4.71,-4.079,-4.079,2.268,8.128,6.663,-2.126,-10.915,-11.403,-1.638,13.011,24.729,26.683,18.87,7.64,-1.638,-6.032,-6.032,-4.567,-2.614,-2.126,-0.661,1.292,5.198,10.081,13.987,13.499,9.104,2.757,-3.591,-7.497,-9.45,-7.985,-3.591,4.222,13.499,19.847,18.382,10.081,-0.173,-6.032,-4.567,0.804,5.686,7.151,6.175,6.175,9.104,12.034,13.499,12.522,12.522,13.987,15.452,13.011,5.198,-3.103,-6.032,-0.661,9.593,18.87,21.8,19.358,16.429,15.452,15.452,13.499,9.593,6.175,5.198,7.151,8.616,9.104,8.616,10.081,13.499,16.429,14.964,9.104,3.733,3.245,8.128,13.011,13.987,7.64,-1.638,-8.474,-9.45,-3.103,7.151,15.452,18.382,14.964,7.64,2.757,3.733,8.128,8.616,0.315,-13.845,-24.099,-22.146,-8.474,7.151,13.987,9.104,-1.638,-9.939,-10.915,-7.985,-6.032,-6.032,-6.521,-5.056,-3.103,-2.614,-5.544,-7.497,-6.521,-0.661,4.71,5.686,0.804,-6.521,-9.939,-7.985,-2.126,2.268,2.757,0.315,-2.126,-1.149,3.245,8.616,12.522,12.034,8.128,1.292,-5.544,-7.497,-2.614,6.663,13.499,13.011,6.175,-2.126,-5.544,-1.638,4.222,4.71,-1.638,-7.985,-6.521,4.222,18.382,24.729,17.893,3.245,-8.474,-9.45,-2.126,5.686,8.128,5.198,2.757,4.222,8.616,10.569,8.128,4.222,3.245,6.175,7.151,3.245,-6.032,-11.892,-8.474,3.733,16.429,21.311,15.94,6.663,2.268,4.71,9.593,11.058,7.151,0.804,-1.149,1.292,5.686,6.663,2.757,-3.103,-5.056,-2.126,2.757,3.733,-1.149,-10.915,-17.263,-15.31,-5.544,7.151,14.964,13.987,6.663,-2.126,-7.497,-7.009,-1.638,4.71,9.104,9.104,4.222,-2.614,-7.985,-7.985,-3.591,1.78,3.733,2.268,0.315
4,AF1,30,-6.083,-4.618,-2.177,1.241,2.706,2.706,1.729,1.241,2.218,4.659,6.612,7.1,5.636,3.682,2.706,4.171,6.612,8.565,8.077,5.147,0.753,-2.665,-2.665,0.264,2.706,3.682,3.194,1.241,0.753,2.706,6.612,9.542,11.007,10.03,8.077,6.612,6.124,6.124,6.612,7.1,8.077,9.542,11.495,12.472,12.96,12.96,12.472,11.983,11.495,10.03,8.565,7.589,7.1,5.636,4.171,2.218,0.753,0.753,1.241,0.753,0.264,0.264,1.729,4.171,5.636,6.124,4.659,3.194,2.706,4.171,6.124,6.612,5.147,3.194,2.706,3.194,5.636,7.589,9.054,9.054,8.077,7.1,6.612,6.612,8.077,9.542,11.007,11.007,10.03,9.054,8.565,8.565,9.542,10.03,9.542,8.565,8.077,8.077,9.542,11.495,13.936,15.889,16.866,16.866,16.378,16.866,17.843,18.819,19.307,19.307,18.331,17.354,15.889,13.936,11.983,10.518,9.542,9.542,10.518,11.983,13.448,14.425,14.913,14.913,14.425,13.936,13.448,13.448,12.96,11.983,10.518,8.565,6.612,4.659,3.194,1.241,-0.224,-1.2,-1.689,-1.2,-0.224,1.241,3.194,4.659,5.147,3.682,1.241,-1.2,-1.689,-0.224,2.706,4.659,4.171,2.706,1.729,1.729,3.194,4.171,3.682,1.729,-0.224,-0.712,0.264,2.706,4.659,5.636,6.124,6.612,6.612,7.1,7.589,8.077,8.077,7.589,5.636,3.194,0.264,-1.689,-2.177,-1.2,0.753,3.682,6.124,6.612,6.124,5.636,5.636,5.636,6.124,5.636,5.147,4.659,5.636,6.612,7.1,6.124,4.171,2.706,1.729,2.218,3.194,4.171,4.171,4.659,4.659,4.171,3.682,3.194,4.171,5.636,7.1,7.589,6.612,4.659,3.682,3.682,5.636,7.589,9.542,10.03,9.542,9.054,7.589,6.612,5.147,4.171,3.682,4.171,5.147,7.1,8.077,7.589,4.659,2.218,-0.224,-0.224,1.241,3.194,3.682,3.682,3.682,3.682,5.147,6.124,6.612,5.636,3.194,0.753,-0.712,0.264,1.241,1.729,0.264,-1.689,-2.177,-0.224
5,AF2,30,-7.64,-9.593,-7.151,0.173,8.962,14.333,13.357,7.009,0.173,-1.78,0.661,4.567,6.032,3.591,-0.315,-1.78,1.149,5.544,8.474,7.497,3.591,-0.804,-2.268,-0.804,1.149,2.614,1.149,-0.315,-1.292,0.173,3.591,7.009,9.45,9.939,7.985,5.544,3.591,2.614,3.591,6.521,10.427,13.357,14.333,12.868,10.915,9.45,9.45,9.939,9.939,9.45,8.474,7.985,7.497,6.521,4.079,2.126,0.173,-0.315,-0.315,-0.315,-0.804,-0.315,2.614,7.009,10.915,12.38,10.427,6.521,4.079,5.056,7.985,10.427,8.962,5.056,1.149,0.173,3.591,8.962,13.357,13.845,11.403,7.985,6.032,7.497,10.427,13.357,14.821,13.845,11.892,10.427,10.427,11.403,11.892,11.892,9.939,8.474,7.009,7.009,8.474,10.915,14.333,17.263,18.239,17.751,16.286,14.821,14.333,14.821,15.798,16.774,16.286,15.31,12.868,11.403,11.403,11.403,11.403,10.915,10.427,9.939,10.915,12.38,13.357,12.38,10.427,8.962,9.45,11.892,14.333,13.845,10.915,5.544,1.638,-0.804,-1.78,-1.78,-1.78,-0.804,0.661,2.614,2.614,1.149,0.173,0.173,1.638,3.103,2.614,0.661,-1.292,-1.78,-0.315,2.126,3.103,3.103,2.614,3.591,5.056,5.544,4.567,2.614,1.149,1.149,1.149,2.126,2.126,2.126,3.591,6.521,8.474,8.962,7.497,5.544,4.567,4.567,4.079,4.079,3.103,2.126,2.126,3.103,4.079,4.079,3.103,2.614,3.103,4.079,6.032,7.497,7.497,6.032,4.079,2.614,2.614,4.567,6.032,7.009,5.544,2.614,-0.315,-1.78,-0.804,2.614,5.544,6.032,4.079,1.149,-0.315,1.149,4.567,7.009,7.497,5.544,3.591,2.614,4.079,6.032,7.497,7.497,6.521,6.032,6.032,7.497,7.985,7.497,5.544,3.103,1.149,1.149,2.126,3.103,3.591,3.103,2.126,2.614,4.567,5.544,5.544,3.103,-0.315,-1.78,-0.315,3.103,6.521,7.985,7.497,5.056,2.614,0.661,0.661,1.149,2.126,1.149,-0.315,-1.78,-0.804,2.126
6,FZ,30,-4.313,-2.848,-0.407,1.058,1.546,0.57,0.081,0.57,1.546,2.523,3.011,2.523,1.546,1.058,2.523,4.476,6.429,6.917,5.452,3.011,0.57,-0.895,-0.407,0.57,2.035,2.035,1.546,1.058,1.546,3.011,5.941,7.894,9.359,9.359,8.382,6.917,5.941,4.964,4.964,4.964,5.941,7.406,8.382,9.359,8.87,8.87,7.894,7.406,6.917,6.917,6.429,5.941,4.964,3.499,2.035,1.058,0.57,1.058,1.058,1.058,0.57,1.058,2.035,3.499,4.476,4.476,3.499,2.523,3.011,4.964,5.941,5.941,4.476,2.523,1.058,1.546,3.499,5.941,7.894,8.382,6.917,5.452,3.988,3.499,4.476,5.941,6.917,6.917,6.429,5.452,5.452,5.452,5.941,5.941,4.964,3.499,3.011,3.499,5.452,8.382,10.824,11.8,11.312,10.335,9.847,10.335,11.312,12.777,13.265,13.265,12.288,11.312,10.335,8.87,7.406,6.429,5.941,5.941,6.917,7.894,9.359,9.847,10.335,10.335,10.335,9.847,9.359,8.87,7.894,7.406,6.917,5.941,4.476,3.011,2.035,1.058,0.57,-0.407,-0.407,-0.895,-0.895,0.081,1.058,2.523,2.523,1.546,0.57,-0.895,-0.895,0.081,1.546,2.523,2.035,0.57,-0.407,0.081,1.058,2.523,2.523,1.546,-0.407,-1.872,-2.36,-1.383,0.57,2.523,3.988,4.964,5.452,5.452,4.964,4.476,3.499,3.011,1.546,0.57,-0.407,-1.872,-2.36,-1.872,-0.407,1.546,3.011,3.011,2.523,2.035,2.035,3.011,3.988,3.499,3.011,2.523,2.035,2.523,3.499,3.011,2.035,0.57,-0.895,-1.872,-1.872,-1.383,-0.895,-0.407,-0.407,-0.407,-0.407,-0.895,-0.407,0.57,1.546,2.523,2.035,1.546,1.058,1.058,2.035,3.499,4.476,4.964,4.964,4.964,4.964,4.476,3.988,3.011,2.035,2.035,3.011,4.964,5.452,4.476,2.523,0.57,0.57,0.57,1.546,1.546,0.57,-0.407,-0.407,0.57,2.035,3.011,3.011,2.035,0.57,-0.895,-1.383,-0.895,-0.407,-0.895,-1.872,-3.337,-2.848,-0.895
7,F4,30,-1.2,1.241,2.706,3.682,3.682,3.194,2.218,1.241,0.753,0.264,0.264,0.753,1.729,2.706,4.171,4.659,5.147,4.171,2.706,1.729,0.264,-0.224,-0.224,-0.712,-0.224,-0.712,-0.712,-1.2,-2.177,-1.689,0.264,3.194,7.1,8.565,8.077,5.636,2.706,1.241,1.729,3.682,6.124,7.589,8.565,9.542,9.054,8.077,6.124,4.659,4.659,6.612,10.03,11.007,9.542,4.659,0.264,-2.665,-1.689,0.753,3.682,4.171,3.682,3.682,4.171,6.124,6.612,6.612,5.147,3.682,4.171,5.636,7.589,8.565,7.1,4.171,1.729,1.729,3.682,6.612,9.054,10.518,10.03,8.077,6.124,5.636,7.1,9.542,11.495,11.983,10.518,8.565,8.077,9.054,11.007,11.495,10.03,6.612,4.659,4.659,7.589,11.983,14.425,14.425,11.495,8.565,7.589,9.054,11.495,13.448,13.448,12.96,11.983,11.007,9.054,6.612,4.171,4.171,5.636,8.077,8.565,7.1,5.636,5.636,7.1,9.542,10.03,8.565,6.124,5.147,5.147,5.147,4.171,2.218,-0.224,-2.177,-2.665,-2.177,-1.689,-2.177,-2.665,-2.665,-2.177,-1.689,-2.177,-2.665,-3.153,-2.665,-2.177,-1.2,-1.2,-0.712,-0.712,-1.2,-2.665,-4.13,-4.618,-3.153,0.264,3.682,5.147,3.682,0.753,-2.665,-4.13,-4.13,-2.177,0.264,2.218,4.171,5.636,6.124,6.124,5.147,3.682,2.706,0.753,0.264,-0.224,0.264,1.241,2.706,4.171,4.171,2.706,0.753,-0.224,0.264,2.218,3.682,4.171,2.706,1.241,-0.224,-0.224,0.264,0.753,2.218,3.194,3.682,3.194,1.729,-0.712,-2.665,-3.153,-2.177,-0.224,0.753,1.241,0.264,0.264,1.241,3.194,4.171,3.194,0.753,-0.224,0.264,3.194,5.636,7.1,6.124,4.171,3.194,3.194,4.171,3.682,1.729,-1.2,-2.665,-2.177,-0.224,0.753,0.264,-0.712,-1.689,-0.224,0.753,0.753,-1.2,-3.642,-4.13,-2.177,0.264,1.729,1.729,0.753,0.753,2.218,4.659,5.147,3.682,0.264,-3.642,-6.083,-6.083,-4.13,-0.712
8,F3,30,-7.507,-5.066,-0.671,1.77,1.282,-2.136,-4.578,-3.601,0.793,6.165,8.606,7.141,4.211,2.258,3.235,5.676,8.118,8.606,7.629,5.676,4.211,2.747,1.282,-0.183,-2.136,-2.625,-1.16,1.77,4.211,6.165,5.676,5.188,4.7,4.7,5.188,5.676,5.676,5.188,4.7,5.188,5.676,6.165,6.165,5.188,5.188,6.165,7.629,9.583,9.583,7.629,5.188,2.747,1.77,2.747,3.723,4.211,3.723,1.77,-1.16,-3.113,-3.113,-0.671,3.235,6.653,7.141,5.676,2.747,0.793,1.282,3.235,5.676,6.653,5.188,1.77,-1.16,-2.136,-0.671,2.258,5.188,6.653,5.676,3.723,2.258,2.258,4.7,6.653,8.118,9.094,8.606,7.629,7.141,6.165,5.188,3.235,2.747,2.258,3.235,4.211,5.676,7.141,9.094,11.536,12.512,13,12.024,11.536,11.536,12.512,13.489,13.977,13,12.024,11.536,11.047,10.071,7.141,3.235,1.282,2.258,6.165,10.559,12.024,11.047,9.094,8.118,9.094,10.559,10.559,8.606,6.165,5.188,5.188,6.165,6.653,5.188,2.747,-0.671,-3.113,-4.578,-4.578,-3.113,-0.183,2.747,4.211,3.235,1.282,-1.648,-3.601,-3.601,-1.648,1.282,3.723,4.7,3.235,0.305,-2.625,-3.601,-3.601,-2.136,-1.648,-2.625,-4.578,-5.066,-3.601,0.305,4.211,5.676,5.188,3.235,1.77,1.282,2.258,2.747,2.747,1.282,-1.16,-3.113,-5.066,-5.554,-4.578,-1.648,1.77,4.7,5.188,3.723,1.282,0.305,0.793,2.747,3.235,3.235,2.258,2.258,3.235,3.723,3.723,2.258,0.305,-0.671,-0.183,0.793,1.77,1.77,1.77,2.258,3.235,3.235,2.258,0.305,-0.183,1.282,4.7,6.653,6.653,5.188,3.235,3.235,4.211,4.7,4.211,3.723,3.235,4.211,4.7,4.211,3.235,2.258,2.258,4.211,5.676,6.165,4.7,1.77,-0.671,-1.648,-2.625,-2.625,-2.625,-1.648,0.305,2.747,4.211,4.211,2.747,0.793,0.305,0.305,0.305,-0.671,-1.16,-1.16,-1.16,-1.16,-1.648,-2.625,-3.113
9,FC6,30,-2.319,-0.366,1.587,3.052,3.54,4.517,5.005,4.517,4.028,2.563,1.587,1.099,1.587,2.563,2.563,1.587,-0.366,-2.319,-3.296,-2.808,-1.831,-0.366,0.122,0.61,0.122,-1.343,-2.319,-4.272,-5.249,-5.249,-3.784,-1.343,1.099,2.563,2.075,1.587,0.61,0.122,-0.854,-0.854,-0.854,0.61,3.54,5.981,7.935,6.47,3.54,0.61,-0.854,-0.854,1.587,4.517,5.005,4.028,1.099,-1.343,-1.343,0.61,3.052,4.028,3.052,1.099,-0.366,0.61,2.563,4.028,3.54,2.563,2.075,3.052,4.517,5.981,4.517,2.563,1.099,1.099,2.563,4.028,5.493,5.005,5.981,6.958,7.446,6.958,5.981,5.005,5.493,6.47,6.958,6.47,5.981,6.47,8.423,9.399,9.399,6.958,5.005,4.517,6.958,9.399,9.888,8.423,6.47,5.005,5.493,7.446,7.935,6.958,6.47,5.981,6.958,6.958,5.493,3.54,2.075,2.563,5.493,7.446,7.446,5.005,2.075,1.587,2.563,4.517,4.517,3.052,1.587,1.587,3.54,5.005,4.517,0.61,-4.761,-8.667,-8.667,-6.226,-2.808,-1.343,-1.831,-2.808,-3.296,-3.296,-3.296,-3.784,-4.761,-5.249,-5.249,-4.761,-3.296,-3.296,-2.808,-2.319,-2.319,-1.831,-1.343,-0.366,1.099,2.563,4.028,3.54,1.587,-1.343,-3.784,-4.272,-2.808,-0.854,1.099,2.563,3.54,4.028,4.517,4.517,3.54,2.563,2.075,1.587,2.075,3.052,4.028,5.005,5.493,5.005,2.563,-0.366,-1.831,-0.854,1.587,4.517,5.981,5.005,2.563,-0.366,-1.343,0.122,2.075,3.54,4.028,4.028,3.54,2.075,0.61,-0.366,-0.854,-0.366,1.099,2.563,2.075,1.099,0.122,0.61,2.075,3.54,3.54,2.563,2.075,3.052,5.005,6.47,6.958,5.493,3.54,3.54,3.54,3.052,1.587,-0.854,-3.296,-3.296,-2.319,-1.343,-2.319,-4.761,-6.226,-5.249,-2.319,1.099,3.052,2.075,-0.854,-3.296,-3.296,-2.319,-0.854,0.122,1.099,2.563,4.028,4.028,2.563,0.122,-2.808,-4.272,-4.272,-3.296,-1.343,0.122
